team_id,franchiseId,shortName,teamName,abbreviation,division,conference,num_wins,points_def,points_3210,ploffs_def,ploffs_3210,league_position_def,league_position_3210,delta,division_rank_def,division_rank_3210
14,31,Tampa Bay,Lightning,TBL,ATL,east,62,128,177,,,1,1,0,1,1
6,6,Boston,Bruins,BOS,ATL,east,49,107,145,,,3,3,0,2,2
10,5,Toronto,Maple Leafs,TOR,ATL,east,46,100,140,,,8,6,2,3,3
8,1,Montreal,Canadiens,MTL,ATL,east,44,96,133,,,14,14,0,4,4
13,33,Florida,Panthers,FLA,ATL,east,36,86,112,,,19,20,1,5,5
7,19,Buffalo,Sabres,BUF,ATL,east,33,76,97,,,27,27,0,6,6
17,12,Detroit,Red Wings,DET,ATL,east,32,74,94,,,28,29,1,7,7
9,30,Ottawa,Senators,OTT,ATL,east,29,64,87,,,31,31,0,8,8
18,34,Nashville,Predators,NSH,CEN,west,47,100,138,,,7,8,1,1,1
52,35,Winnipeg,Jets,WPG,CEN,west,47,99,137,,,10,10,0,2,2
19,18,St Louis,Blues,STL,CEN,west,45,99,135,,,12,13,1,3,3
25,15,Dallas,Stars,DAL,CEN,west,43,93,129,,,16,16,0,4,4
21,27,Colorado,Avalanche,COL,CEN,west,38,90,123,,,17,17,0,5,5
53,28,Arizona,Coyotes,ARI,CEN,west,39,86,116,,,18,18,0,6,6
30,37,Minnesota,Wild,MIN,CEN,west,37,83,116,,,21,19,2,8,7
16,11,Chicago,Blackhawks,CHI,CEN,west,36,84,108,,,20,22,-2,7,8
15,24,Washington,Capitals,WSH,MET,east,48,104,143,,,4,4,0,1,1
2,22,NY Islanders,Islanders,NYI,MET,east,48,103,140,,,5,5,0,2,2
12,26,Carolina,Hurricanes,CAR,MET,east,46,99,138,,,11,9,2,4,3
5,17,Pittsburgh,Penguins,PIT,MET,east,44,100,137,,,9,11,-2,3,4
29,36,Columbus,Blue Jackets,CBJ,MET,east,47,98,135,,,13,12,1,5,5
4,16,Philadelphia,Flyers,PHI,MET,east,37,82,110,,,22,21,1,6,6
3,10,NY Rangers,Rangers,NYR,MET,east,32,78,101,,,26,26,0,7,7
1,23,New Jersey,Devils,NJD,MET,east,31,72,96,,,29,28,1,8,8
20,21,Calgary,Flames,CGY,PAC,west,50,107,152,,,2,2,0,1,1
28,29,San Jose,Sharks,SJS,PAC,west,46,101,139,,,6,7,1,2,2
54,38,Vegas,Golden Knights,VGK,PAC,west,43,93,129,,,15,15,0,3,3
24,32,Anaheim,Ducks,ANA,PAC,west,35,80,107,,,24,23,1,5,4
23,20,Vancouver,Canucks,VAN,PAC,west,35,81,103,,,23,24,1,4,5
22,25,Edmonton,Oilers,EDM,PAC,west,35,79,103,,,25,25,0,6,6
26,14,Los Angeles,Kings,LAK,PAC,west,31,71,93,,,30,30,0,7,7
